City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,yuzhno-kurilsk,44.0306,145.8556,283.42,99,100,2.67,RU,1686679521
110,ribeira brava,32.65,-17.0667,296.32,80,87,1.13,PT,1686679420
111,senillosa,-39.0,-68.4167,285.47,20,85,1.26,AR,1686679522
112,sorong,-0.8833,131.25,298.8,89,83,3.7,ID,1686679522
113,namsos,64.4662,11.4957,288.1,67,9,2.57,NO,1686679523
114,lihue,21.9789,-159.3672,298.73,91,100,4.12,US,1686679523
115,sinnar,13.5691,33.5672,303.45,43,92,3.39,SD,1686679523
116,thunder bay,48.4001,-89.3168,296.64,35,91,4.06,CA,1686679524
117,papatowai,-46.5619,169.4708,280.54,84,68,1.89,NZ,1686679524
118,port elizabeth,-33.918,25.5701,291.54,63,100,3.58,ZA,1686679508
119,sao jose da coroa grande,-8.8978,-35.1478,300.28,73,6,4.23,BR,1686679525
120,stavern,59.0,10.0333,296.53,71,48,4.54,NO,1686679236
121,valparaiso,-33.0393,-71.6273,287.28,67,0,3.6,CL,1686679526
122,steinbach,50.1667,8.5667,299.65,28,0,5.14,DE,1686679467
123,manokwari,-0.8667,134.0833,298.67,85,82,2.03,ID,1686679527
124,nova vicosa,-17.8919,-39.3719,299.73,67,5,5.08,BR,1686679527
125,qamdo,31.1667,97.2333,273.92,96,100,0.85,CN,1686679528
126,stanley,54.868,-1.6985,294.66,66,0,4.12,GB,1686679528
127,indramayu,-6.3264,108.32,299.48,82,88,4.01,ID,1686679301
128,celestun,20.8667,-90.4,306.71,59,0,4.18,MX,1686679529
129,mugia,43.1041,-9.2179,296.43,84,12,3.34,ES,1686679529
130,banska bystrica,48.5,19.5,285.77,91,53,1.69,SK,1686679530
131,ulaangom,49.9811,92.0667,288.0,37,35,0.9,MN,1686679530
132,whitehorse,60.7161,-135.0538,285.98,39,98,1.62,CA,1686679531
133,tomatlan,19.9333,-105.25,307.35,45,2,4.51,MX,1686679531
134,nagqu,31.5,92.0,278.16,82,100,2.03,CN,1686679508
135,jamestown,42.097,-79.2353,292.05,51,33,3.58,US,1686679252
136,doka,13.5167,35.7667,305.88,43,74,1.35,SD,1686679532
137,pedro betancourt,22.7272,-81.29,306.45,38,2,3.39,CU,1686679532
138,kalymnos,36.95,26.9833,294.89,73,20,3.09,GR,1686679533
139,jumla,29.2747,82.1838,287.78,87,72,0.3,NP,1686679533
140,aasiaat,68.7098,-52.8699,273.85,83,72,2.53,GL,1686679533
141,nemuro,43.3236,145.575,284.76,99,100,4.73,JP,1686679534
142,hermanus,-34.4187,19.2345,291.37,84,89,13.95,ZA,1686679534
143,lobujya,27.95,86.8167,273.26,96,89,2.08,NP,1686679534
144,tual,-5.6667,132.75,300.04,80,100,9.02,ID,1686679535
145,aral,40.5156,81.2636,304.13,13,39,3.52,CN,1686679535
146,port augusta,-32.5,137.7667,281.44,79,6,0.98,AU,1686679536
147,lincoln,40.8,-96.667,300.38,34,0,2.57,US,1686679536
148,laguna,38.421,-121.4238,298.32,61,0,4.12,US,1686679537
149,pacasmayo,-7.4006,-79.5714,297.31,69,66,7.19,PE,1686679249
150,fale old settlement,-9.3852,-171.2468,301.32,78,49,5.71,TK,1686679537
151,island harbour,50.724,-1.2758,299.19,73,4,4.24,GB,1686679538
